iter	Passed	Remaining
0	0	96
1	1	88
2	2	86
3	3	78
4	4	77
5	4	77
6	5	77
7	6	75
8	7	74
9	8	74
10	9	73
11	9	72
12	10	72
13	11	71
14	12	71
15	13	69
16	14	68
17	14	67
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	59
26	21	59
27	22	58
28	23	57
29	24	57
30	25	56
31	26	56
32	27	55
33	27	54
34	28	53
35	29	52
36	30	51
37	31	50
38	32	50
39	32	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	38	42
48	39	41
49	40	40
50	41	39
51	42	38
52	43	38
53	43	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	77	3
96	78	2
97	79	1
98	80	0
99	80	0
