iter	Passed	Remaining
0	138	138760
1	139	69844
2	141	46872
3	141	35357
4	142	28453
5	144	23908
6	145	20674
7	146	18192
8	147	16282
9	149	14805
10	150	13556
11	152	12518
12	153	11617
13	153	10836
14	154	10162
15	155	9565
16	156	9038
17	156	8562
18	157	8130
19	157	7741
20	158	7390
21	159	7073
22	159	6781
23	160	6511
24	160	6272
25	161	6048
26	162	5860
27	163	5677
28	164	5513
29	165	5346
30	165	5188
31	166	5044
32	167	4913
33	168	4790
34	169	4662
35	169	4543
36	170	4431
37	170	4327
38	171	4225
39	172	4128
40	172	4037
41	173	3951
42	173	3867
43	174	3787
44	174	3709
45	175	3636
46	175	3567
47	176	3503
48	177	3444
49	178	3385
50	178	3330
51	179	3278
52	180	3224
53	181	3171
54	181	3120
55	182	3073
56	182	3026
57	183	2981
58	184	2938
59	184	2896
60	185	2855
61	186	2815
62	186	2775
63	187	2736
64	187	2699
65	188	2663
66	188	2627
67	189	2593
68	189	2560
69	190	2528
70	190	2499
71	191	2473
72	192	2447
73	193	2420
74	194	2393
75	194	2367
76	195	2341
77	195	2316
78	196	2291
79	197	2267
80	197	2244
81	198	2221
82	198	2195
83	199	2173
84	199	2151
85	200	2130
86	200	2109
87	201	2087
88	202	2067
89	202	2047
90	203	2028
91	203	2009
92	204	1991
93	204	1973
94	205	1956
95	206	1940
96	206	1925
97	207	1908
98	208	1893
99	208	1879
100	209	1863
101	210	1848
102	210	1833
103	211	1818
104	211	1803
105	212	1790
106	212	1777
107	213	1764
108	214	1751
109	214	1738
110	215	1724
111	215	1711
112	216	1698
113	217	1687
114	217	1675
115	218	1662
116	218	1649
117	219	1637
118	219	1625
119	220	1613
120	220	1604
121	221	1594
122	222	1584
123	222	1574
124	223	1564
125	224	1555
126	224	1544
127	225	1534
128	225	1524
129	226	1515
130	227	1506
131	228	1500
132	228	1492
133	229	1483
134	230	1473
135	230	1464
136	231	1455
137	231	1446
138	232	1437
139	232	1428
140	233	1420
141	233	1410
142	233	1401
143	234	1393
144	234	1385
145	235	1377
146	236	1370
147	237	1364
148	237	1358
149	238	1351
150	239	1344
151	239	1338
152	240	1330
153	240	1323
154	241	1316
155	242	1310
156	242	1303
157	243	1297
158	244	1292
159	244	1285
160	245	1278
161	245	1271
162	246	1265
163	246	1258
164	247	1252
165	247	1245
166	248	1239
167	249	1234
168	249	1228
169	250	1222
170	251	1218
171	252	1213
172	252	1208
173	253	1203
174	254	1198
175	254	1193
176	255	1188
177	256	1184
178	257	1179
179	257	1174
180	258	1168
181	258	1163
182	259	1158
183	259	1152
184	260	1147
185	261	1142
186	261	1137
187	262	1132
188	263	1129
189	263	1124
190	264	1119
191	264	1114
192	265	1109
193	266	1105
194	266	1101
195	267	1098
196	268	1093
197	269	1089
198	269	1085
199	270	1081
200	271	1077
201	271	1074
202	272	1070
203	273	1066
204	273	1062
205	274	1059
206	275	1056
207	276	1052
208	277	1048
209	277	1044
210	278	1040
211	278	1035
212	279	1031
213	279	1027
214	280	1023
215	280	1019
216	281	1016
217	283	1015
218	283	1012
219	284	1009
220	285	1006
221	286	1002
222	286	998
223	287	995
224	287	991
225	288	989
226	289	985
227	290	982
228	290	978
229	291	974
230	291	970
231	292	967
232	292	963
233	293	960
234	293	956
235	294	953
236	295	950
237	295	946
238	296	943
239	297	940
240	297	937
241	298	934
242	299	932
243	300	929
244	300	927
245	301	924
246	302	920
247	302	917
248	303	914
249	304	912
250	304	909
251	305	906
252	305	903
253	306	900
254	307	897
255	307	894
256	308	891
257	308	888
258	309	885
259	310	882
260	310	879
261	311	876
262	312	874
263	312	872
264	313	869
265	314	868
266	315	865
267	315	862
268	316	859
269	316	857
270	317	854
271	318	851
272	318	848
273	319	845
274	319	843
275	320	841
276	321	838
277	321	835
278	322	833
279	322	830
280	323	827
281	324	825
282	324	822
283	325	819
284	325	817
285	326	815
286	327	813
287	328	811
288	329	809
289	329	807
290	330	805
291	330	802
292	331	800
293	332	798
294	333	796
295	334	795
296	335	793
297	335	790
298	336	788
299	336	785
300	337	783
301	337	781
302	338	778
303	339	777
304	340	774
305	340	772
306	341	770
307	342	769
308	343	767
309	343	765
310	344	763
311	345	762
312	346	760
313	347	758
314	347	756
315	348	754
316	349	751
317	349	749
318	350	747
319	350	744
320	351	743
321	352	741
322	352	739
323	353	737
324	353	734
325	354	732
326	355	730
327	355	728
328	356	726
329	356	724
330	357	722
331	358	721
332	359	719
333	359	717
334	360	715
335	361	713
336	361	711
337	362	709
338	362	707
339	363	705
340	363	703
341	364	700
342	364	698
343	365	696
344	366	695
345	366	693
346	367	691
347	367	689
348	368	687
349	369	685
350	369	683
351	370	681
352	370	679
353	371	677
354	372	676
355	372	674
356	373	673
357	374	671
358	375	669
359	375	667
360	376	665
361	376	664
362	377	662
363	377	660
364	378	658
365	378	656
366	379	654
367	380	652
368	380	650
369	381	648
370	381	647
371	382	645
372	382	643
373	383	641
374	383	639
375	384	638
376	385	636
377	385	634
378	386	632
379	386	631
380	387	629
381	388	628
382	388	626
383	389	624
384	389	622
385	390	621
386	391	619
387	391	618
388	392	616
389	392	614
390	393	612
391	394	611
392	394	609
393	395	607
394	395	606
395	396	604
396	396	602
397	397	601
398	397	599
399	398	597
400	399	596
401	399	594
402	400	592
403	400	591
404	401	589
405	402	588
406	402	586
407	403	585
408	404	583
409	404	582
410	405	580
411	405	579
412	406	577
413	407	576
414	407	574
415	408	573
416	408	571
417	409	570
418	409	568
419	410	566
420	410	565
421	411	563
422	412	562
423	412	560
424	413	559
425	413	557
426	414	555
427	414	554
428	415	552
429	415	551
430	416	549
431	417	548
432	418	547
433	418	546
434	419	544
435	420	543
436	420	541
437	421	540
438	421	539
439	422	537
440	422	536
441	423	534
442	423	533
443	424	531
444	424	530
445	425	528
446	426	527
447	426	525
448	427	524
449	428	523
450	428	521
451	429	520
452	429	518
453	430	517
454	430	516
455	431	514
456	431	513
457	432	511
458	433	510
459	433	509
460	434	508
461	435	506
462	435	505
463	436	503
464	436	502
465	437	501
466	437	499
467	438	498
468	438	496
469	439	495
470	439	493
471	440	492
472	440	491
473	441	489
474	442	488
475	442	487
476	443	485
477	443	484
478	444	483
479	444	481
480	445	480
481	445	479
482	446	477
483	446	476
484	447	474
485	447	473
486	448	472
487	449	471
488	449	469
489	450	468
490	450	467
491	451	466
492	451	464
493	452	463
494	453	462
495	453	460
496	454	459
497	454	458
498	455	456
499	455	455
500	456	454
501	456	453
502	457	451
503	457	450
504	458	449
505	458	448
506	459	446
507	460	445
508	460	444
509	461	443
510	461	441
511	462	440
512	462	439
513	463	438
514	464	437
